Label,Type,Class,Post Label,Placeholder,Maxlength,Size,Required,Validation,Lookups,Textbox binding to foreign database TABLE.FIELD,
Ground Water Monitoring Form ,Textbox,standard input,,,18,18,TRUE,,Potentially ,SITE.STATION,Sholto Comment
Site ID,Textbox,standard input,,,18,18,TRUE,,Potentially ,SITE.STATION,Sholto Comment
Job Name,Textbox,standard input,,,5,5,TRUE,,,AREASMT.ASSTYPE,
Basin,ComboBox,standard input,,,8,8,,,,SITE.CATEGORY1,
Wellfield,ComboBox,standard input,,,8,8,,,Potentially ,SITE.CATEGORY2,
Recorded By,Textbox,standard input,,,15,15,,,"SMAUD,CJ",AREASMT.ASSOFFICER,
Date,Date Format (dd/mm/yyyy),standard input,,,,,TRUE,,,AREASMT.DATE|HYDMEAS.DATE|PUMPTEST.TESTDATE|PUMPREAD.TESTDATE|GWTRACE/SAMPLES.DATE|GWTRACER/SAMPLES.DATE,
Time,24hr Time Format [hhmm],standard input,[hhmm],,4,4,TRUE,Number (0000),,STNVISIT.STARTTIME,The Groundwater Monitoring rounds are more like station visits than Baseline Assessments
Free Gas Reading (Methane),Textbox,standard input,ml/g,,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 1011,
Well Type,Label,Sub Heading,,,,,,,,,STP Lookup & validation
Monitoring,RadioBox,standard input,,,,,ONE OF,,,SITE.STNTYPE,
Extraction,RadioBox,standard input,,,,,ONE OF,,,SITE.STNTYPE,
Other,RadioBox,standard input,,,,,ONE OF,,,SITE.STNTYPE,
Well Material,Label,Sub Heading,,,,,,,,,
PVC,RadioBox,standard input,,,,,ONE OF,,,CASING.CASETYPE,
Steel,RadioBox,standard input,,,,,ONE OF,,,CASING.CASETYPE,
Other,RadioBox,standard input,,,,,ONE OF,,,CASING.CASETYPE,
Purge Setup,Label,Sub Heading,,,,,,,,,
Well Head Condition,Textbox,standard input,,,6400,30,,,,HYDRLMP.COMMENT,This is a dated field based on the monitoring round so need to have date in the key
Water Level Depth ,Textbox,standard input,(WL in m BTOC),,10 (3 decimals),10,, Number (000000.000),,HYDMEAS.VALUE | HYDMEAS.VARIABLE = 110 ,
Measurement Point Description,Textbox,standard input,,,60,60,TRUE (if no entry in row 22 above),,,HYDRLMP.MEASPTDESC  ,
Total Depth of Well ,Textbox,standard input,(TD in m BTOC),,,,, Number (000.000),,GWHOLE.DEPTHDRILL,
Well Diameter ,Textbox,standard input,(D in mm),,8 (3 dec),,,Number (0000.000),,CASING.OUTDIAM|CASING.DEPTHFROM=0.00,Should the height above ground level (HYDRLMP) be the same as the CASING.DEPTHFROM value??
Bailer Type,Label,SubSubHeading,,,,,,,,,OVERLOADED FIELD - should be added to V.11 of Hydstra
PVC,RadioBox,standard input,,,,,ONE OF,,,PUMPTTEST.COMMENTS ,
Steel,RadioBox,standard input,,,,,ONE OF,,,PUMPTTEST.COMMENTS ,
Teflon,RadioBox,standard input,,,,,ONE OF,,,PUMPTTEST.COMMENTS ,
Other,RadioBox,standard input,,,,,ONE OF,,,PUMPTTEST.COMMENTS ,
Pump Type,Label,SubSubHeading,,,,,,,,,
Submersible,RadioBox,standard input,,,,,ONE OF,,,,
Bladder,RadioBox,standard input,,,,,ONE OF,,,PUMPTTEST.COMMENTS,OVERLOADED FIELD - should be added to V.11 of Hydstra
Other,RadioBox,standard input,,,,,ONE OF,,,PUMPTTEST.COMMENTS,OVERLOADED FIELD - should be added to V.11 of Hydstra
Notes,TextArea,"rows=""4"" cols=""50",,,64000,"rows=""4"" cols=""50",,Text [200],,PUMPTTEST.COMMENTS,
Pump Intake Setting,Label,SubSubHeading,,,,,,,,,
Depth ,Textbox,standard input,(m BTOC),,6 (2 decmials),6,, Number (000.00),,PUMPTEST.PUMPDEPTH,
Field Parameter Measurements,Label,SubSubHeading,,,,,,,,,
Time,24hr Time Format [hhmm],standard input,[hhmm],,4,4,,Number (0000),,PUMPTEST.TIME,My suggestion is to store all the pumptest variables in GWTRACER to keep them together as a pumptest
Volume Purged,Textbox,standard input,(L),,,,,,,PUMPTEST.SPARE3,
DO ,Textbox,standard input,(mg/L),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
DO ppm,Textbox,standard input,(ppm),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
Electrical Condutivitiy ,Textbox,standard input,(mS/cm),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
Electrical Condutivitiy ,Textbox,standard input,(ms per cm),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
pH,Textbox,standard input,,,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
0RP or Red0x ,Textbox,standard input,(mV),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
Temp ,Textbox,standard input,(Â°C),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
Turbidity ,Textbox,standard input,(NTU),,15 (6 decimals),15,,Number (00000000.000000),,RESULTS.VALUE | RESULTS.VARIABLE = 110,
Measurement Comments,TextArea,"rows=""4"" cols=""50",,,64000,"rows=""4"" cols=""50",,,,SAMPLE.COMMNT,
Discharge water disposal,Label,SubSubHeading,,,,,,,,,
Drums,RadioBox,standard input,,,,,ONE OF,,,SAMPLE.SPARE2 | SAMPLE.SAMPTYPE = DISCH,
Sanitary,RadioBox,standard input,,,,,ONE OF,,,SAMPLE.SPARE2 | SAMPLE.SAMPTYPE = DISCH,
Sewer Storm,RadioBox,standard input,,,,,ONE OF,,,SAMPLE.SPARE2 | SAMPLE.SAMPTYPE = DISCH,
Sewer,RadioBox,standard input,,,,,ONE OF,,,SAMPLE.SPARE2 | SAMPLE.SAMPTYPE = DISCH,
Other,RadioBox,standard input,,,,,ONE OF,,,SAMPLE.SPARE2 | SAMPLE.SAMPTYPE = DISCH,
Other Comment,TextArea,"rows=""4"" cols=""50",,e.g. back into dam,64000,"rows=""4"" cols=""50",,,,SAMPLE.COMMNT,
Well Sampling ,Label,SubHeading,,,,,,,,PUMPTEST.COMMENT,OVERLOADED FIELD - should be added to V.11 of Hydstra
Sample Taken (Yes/No) ,CheckBox,standard input,,,,,,,,AREASMT.SAMPFLAG,Does this match up with the are.import.ini allocation?
Sampling Method,DropDown,standard input,,,2,2,,,"AI,AS,PA",SAMPLES.COLLMETH,
BOTTLE NUMBER,Textbox,standard input,,,20,20,TRUE,,,SAMPLES.BOTTLE,
SAMPLE NUMBER,Textbox,standard input,,,30,30,TRUE,,,SAMPLES.SAMPNUM,
BOTTLE TYPE,DropDown,standard input,,,,,,,"amber glass,plastic",SAMPLES.SPARE2,
Sample Type,Label,SubSubHeading,,,,,,,,,
PRIMARY,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
DUPE1,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
DUPE2,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
DUPE3,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIPCLICATE1,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIPCLICATE2,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIPCLICATE3,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
RINSATE1,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
RINSATE2,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
RINSATE3,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIP BLANK,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
TRIP SPIKE,RadioBox,standard input,,,,,ONE OF,,,SAMPLES.SAMPTYPE,
Sample Comment,TextArea,"rows=""4"" cols=""50",,,64000,"rows=""4"" cols=""50",,,,SAMPLES.COMMNT,
